1,12,13,27,35,42
8,15,16,24,29,36
11,21,24,31,33,43
2,6,11,24,33,41
13,16,17,26,27,34
2,10,13,21,24,30
11,13,16,20,23,28
7,8,16,28,31,33
2,26,29,36,37,44
1,2,5,6,8,35
8,15,16,21,24,45
2,16,21,24,29,37
11,24,30,36,40,41
16,17,18,22,33,45
4,7,12,17,35,44
3,12,27,36,41,43
5,6,20,28,30,38
2,10,25,28,29,38
15,22,26,28,31,39
3,4,17,26,31,43
5,9,12,33,34,45
7,8,17,21,34,42
8,22,24,33,34,40
6,8,10,15,16,18
2,4,7,17,25,41
7,10,24,29,43,45
10,18,22,32,42,45
3,7,34,35,40,42
2,3,8,14,26,31
11,19,24,34,40,44
11,14,20,25,26,30
5,21,28,30,32,33
3,6,33,38,40,41
3,4,21,24,32,43
7,9,10,17,24,32
1,8,12,23,35,40
5,17,23,27,39,42
7,19,22,26,38,39
3,11,14,18,23,40
9,16,20,22,32,44
9,13,22,28,29,33
1,8,25,30,35,37
4,5,12,35,36,44
1,10,11,16,27,30
10,14,16,17,30,39
6,9,18,22,41,43
14,21,33,34,37,44
11,14,21,31,33,44
4,11,12,14,36,40
5,7,15,27,28,31
