40,41,42,43,44,45
39,40,41,42,43,44
38,39,40,41,42,43
37,38,39,40,41,42
36,37,38,39,40,41
35,36,37,38,39,40
34,35,36,37,38,39
33,34,35,36,37,38
32,33,34,35,36,37
31,32,33,34,35,36
30,31,32,33,34,35
29,30,31,32,33,34
28,29,30,31,32,33
27,28,29,30,31,32
26,27,28,29,30,31
25,26,27,28,29,30
24,25,26,27,28,29
23,24,25,26,27,28
22,23,24,25,26,27
21,22,23,24,25,26
20,21,22,23,24,25
19,20,21,22,23,24
18,19,20,21,22,23
17,18,19,20,21,22
16,17,18,19,20,21
15,16,17,18,19,20
14,15,16,17,18,19
13,14,15,16,17,18
12,13,14,15,16,17
11,12,13,14,15,16
10,11,12,13,14,15
9,10,11,12,13,14
8,9,10,11,12,13
7,8,9,10,11,12
6,7,8,9,10,11
5,6,7,8,9,10
4,5,6,7,8,9
3,4,5,6,7,8
2,3,4,5,6,7
1,2,3,4,5,6
1,3,5,7,9,11
2,4,6,8,10,12
3,5,7,9,11,13
4,6,8,10,12,14
5,7,9,11,13,15
6,8,10,12,14,16
7,9,11,13,15,17
8,10,12,14,16,18
9,11,13,15,17,19
10,12,14,16,18,20
11,13,15,17,19,21
12,14,16,18,20,22
13,15,17,19,21,23
14,16,18,20,22,24
15,17,19,21,23,25
16,18,20,22,24,26
17,19,21,23,25,27
18,20,22,24,26,28
19,21,23,25,27,29
20,22,24,26,28,30
21,23,25,27,29,31
22,24,26,28,30,32
23,25,27,29,31,33
24,26,28,30,32,34
25,27,29,31,33,35
26,28,30,32,34,36
27,29,31,33,35,37
28,30,32,34,36,38
29,31,33,35,37,39
30,32,34,36,38,40
31,33,35,37,39,41
32,34,36,38,40,42
33,35,37,39,41,43
34,36,38,40,42,44
35,37,39,41,43,45
